recording_id,command_id,split,expected_transcript,intent,speaker_id,audio_path,sample_rate,channels,duration_sec,recorded_at,recording_device,status,notes
REC_TST0010,TST0010,test,Kiểm tra lịch ngày 02/08/2026.,VIEW_SCHEDULE,cmdspk01,data/commands/audio/test/REC_TST0010_cmdspk01.wav,16000,1,4.966,2026-07-30T17:06:19+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0011,TST0011,test,Thêm lịch luyện nghe lúc 6h30 sáng mai.,ADD_SCHEDULE,cmdspk02,data/commands/audio/test/REC_TST0011_cmdspk02.wav,16000,1,4.056,2026-08-04T09:35:02+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0012,TST0012,test,Tạo lịch sửa báo cáo lúc 3 giờ chiều hôm nay.,ADD_SCHEDULE,cmdspk02,data/commands/audio/test/REC_TST0012_cmdspk02.wav,16000,1,3.796,2026-08-04T09:35:13+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0013,TST0013,test,Lập cuộc hẹn gặp cố vấn lúc 9 giờ sáng ngày kia.,ADD_SCHEDULE,cmdspk02,data/commands/audio/test/REC_TST0013_cmdspk02.wav,16000,1,4.550,2026-08-04T09:35:24+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0014,TST0014,test,Đặt buổi thảo luận lúc 7 giờ tối thứ bảy.,ADD_SCHEDULE,cmdspk02,data/commands/audio/test/REC_TST0014_cmdspk02.wav,16000,1,4.628,2026-08-04T09:35:34+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0015,TST0015,test,Nhắc tôi gửi bài lúc mười một giờ sáng ngày mai.,ADD_SCHEDULE,cmdspk02,data/commands/audio/test/REC_TST0015_cmdspk02.wav,16000,1,4.186,2026-08-04T09:35:43+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0016,TST0016,test,Xin đọc ghi chú riêng tư của tôi.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/test/REC_TST0016_cmdspk02.wav,16000,1,3.380,2026-08-04T09:35:51+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0017,TST0017,test,Mở note bảo mật gần nhất.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/test/REC_TST0017_cmdspk02.wav,16000,1,3.094,2026-08-04T09:35:59+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0018,TST0018,test,Cho tôi xem ghi chú cá nhân mới nhất.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/test/REC_TST0018_cmdspk02.wav,16000,1,3.068,2026-08-04T09:36:07+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0019,TST0019,test,Hiển thị note riêng tư của tôi.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/test/REC_TST0019_cmdspk02.wav,16000,1,3.016,2026-08-04T09:36:15+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0020,TST0020,test,Xem ghi chú bảo mật gần đây.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/test/REC_TST0020_cmdspk02.wav,16000,1,3.328,2026-08-04T09:36:23+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0021,TST0021,test,Mở máy tính giúp tôi.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0021_cmdspk03.wav,16000,1,1.872,2026-08-04T13:29:13+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0022,TST0022,test,Ngày mai nhiệt độ bao nhiêu?,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0022_cmdspk03.wav,16000,1,2.106,2026-08-04T13:29:29+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0023,TST0023,test,Tính điểm trung bình của tôi.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0023_cmdspk03.wav,16000,1,2.314,2026-08-04T13:29:36+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0024,TST0024,test,Đặt vé xe lúc 8 giờ.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0024_cmdspk03.wav,16000,1,2.366,2026-08-04T13:29:44+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0025,TST0025,test,Đọc bài báo này.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0025_cmdspk03.wav,16000,1,1.794,2026-08-04T13:29:50+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0026,TST0026,test,Cho tôi xem ảnh cá nhân.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0026_cmdspk03.wav,16000,1,2.626,2026-08-04T13:29:58+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0027,TST0027,test,Thêm sản phẩm vào giỏ hàng.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0027_cmdspk03.wav,16000,1,2.756,2026-08-04T13:30:05+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0028,TST0028,test,Tôi có môn học yêu thích.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0028_cmdspk03.wav,16000,1,2.132,2026-08-04T13:30:13+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0029,TST0029,test,Mở note.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0029_cmdspk03.wav,16000,1,1.378,2026-08-04T13:30:19+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0030,TST0030,test,Hôm nay có sự kiện gì?,OUT_OF_SCOPE,cmdspk03,data/commands/audio/test/REC_TST0030_cmdspk03.wav,16000,1,2.158,2026-08-04T13:30:26+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
