audio_id,audio_path,original_split,project_split,locale,speaker_id,normalized_speaker_id,speaker_sex,speaker_age,transcript,annot_utt,tokens,labels,intent_idx,intent,scenario_str,duration_sec,sample_rate,num_channels,is_valid,protocol,role,checksum
1100,train-115/b6183a1c39fe27478e903d5471695d9d.wav,train,UNUSED,vi-VN,659ea35db097ea3c414b04c0,,Female,31,bạn hôm nay thế nào,bạn [date : hôm nay] thế nào,['bạn' 'hôm' 'nay' 'thế' 'nào'],['Other' 'date' 'date' 'Other' 'Other'],5,general_greet,general,2.34,48000,1,True,,,
12175,train-115/bf899ac7e34beced52d49fba0302a4bf.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,đặt cho tôi một uber lúc mười giờ tối tối nay,đặt cho tôi một [transport_agency : uber] lúc [time : mười giờ tối] [timeofday : tối nay],['đặt' 'cho' 'tôi' 'một' 'uber' 'lúc' 'mười' 'giờ' 'tối' 'tối' 'nay'],"['Other' 'Other' 'Other' 'Other' 'transport_agency' 'Other' 'time' 'time'
 'time' 'timeofday' 'timeofday']",54,transport_taxi,transport,4.74,48000,1,True,,,
3641,train-115/4d019755ae167bfa1831b55ec7e862f7.wav,train,UNUSED,vi-VN,659ea35db097ea3c414b04c0,,Female,31,bật các bóng đèn trong nhà của tôi,bật các bóng đèn trong [house_place : nhà] của tôi,['bật' 'các' 'bóng' 'đèn' 'trong' 'nhà' 'của' 'tôi'],['Other' 'Other' 'Other' 'Other' 'Other' 'house_place' 'Other' 'Other'],41,iot_hue_lighton,iot,2.88,48000,1,True,,,
10246,train-115/91895a59627accee5684cd519187ed2a.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,chơi cờ vua với tôi,chơi [game_name : cờ vua] với tôi,['chơi' 'cờ' 'vua' 'với' 'tôi'],['Other' 'game_name' 'game_name' 'Other' 'Other'],51,play_game,play,1.32,48000,1,True,,,
12356,train-115/3bc7349db9598cda788b24325535b59e.wav,train,UNUSED,vi-VN,659ea35db097ea3c414b04c0,,Female,31,tôi cần một vé tàu hỏa,tôi cần một vé [transport_type : tàu hỏa],['tôi' 'cần' 'một' 'vé' 'tàu' 'hỏa'],['Other' 'Other' 'Other' 'Other' 'transport_type' 'transport_type'],2,transport_ticket,transport,2.94,48000,1,True,,,
2939,train-115/3d3288699099febdb9497aa8f28d17b0.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,alexa phát danh sách phát gần đây nhất của tôi,alexa phát [playlist_name : danh sách phát gần đây nhất] của tôi,['alexa' 'phát' 'danh' 'sách' 'phát' 'gần' 'đây' 'nhất' 'của' 'tôi'],"['Other' 'Other' 'playlist_name' 'playlist_name' 'playlist_name'
 'playlist_name' 'playlist_name' 'playlist_name' 'Other' 'Other']",45,play_music,play,4.2,48000,1,True,,,
2900,train-115/c2727fd792f411f0038f8fce0e6f71cf.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,đặt một pizza với pepperoni cỡ lớn,đặt một [food_type : pizza với pepperoni] cỡ lớn,['đặt' 'một' 'pizza' 'với' 'pepperoni' 'cỡ' 'lớn'],['Other' 'Other' 'food_type' 'food_type' 'food_type' 'Other' 'Other'],16,takeaway_order,takeaway,4.8,48000,1,True,,,
5164,train-115/7cc106fb2f2a326342c366a7c396ba11.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,làm tối phòng xuống một chút,làm tối [house_place : phòng] xuống [change_amount : một chút],['làm' 'tối' 'phòng' 'xuống' 'một' 'chút'],['Other' 'Other' 'house_place' 'Other' 'change_amount' 'change_amount'],31,iot_hue_lightdim,iot,2.64,48000,1,True,,,
633,train-115/9e3215b190d5a846244089f52f06c75c.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,khởi động máy hút bụi,khởi động [device_type : máy hút bụi],['khởi' 'động' 'máy' 'hút' 'bụi'],['Other' 'Other' 'device_type' 'device_type' 'device_type'],34,iot_cleaning,iot,3.84,48000,1,True,,,
16193,train-115/09012839caa42f18e7ad87c5eed3aeb6.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,tôi nhận được email nào từ bạn gái tôi,tôi nhận được email nào từ [relation : bạn gái] tôi,['tôi' 'nhận' 'được' 'email' 'nào' 'từ' 'bạn' 'gái' 'tôi'],"['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'relation' 'relation'
 'Other']",44,email_query,email,3.66,48000,1,True,,,
7290,train-115/31a779a1ed082fa931c32e699a2210ea.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,xoá toàn bộ những cuộc hẹn của tôi hôm nay,xoá toàn bộ [event_name : những cuộc hẹn] của tôi [date : hôm nay],['xoá' 'toàn' 'bộ' 'những' 'cuộc' 'hẹn' 'của' 'tôi' 'hôm' 'nay'],"['Other' 'Other' 'Other' 'event_name' 'event_name' 'event_name' 'Other'
 'Other' 'date' 'date']",30,calendar_remove,calendar,4.2,48000,1,True,,,
1155,train-115/1e3fb8cc6f1f9d92674f0ef67ba63aa9.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,tắt đèn trong phòng ngủ,tắt đèn trong [house_place : phòng ngủ],['tắt' 'đèn' 'trong' 'phòng' 'ngủ'],['Other' 'Other' 'Other' 'house_place' 'house_place'],40,iot_hue_lightoff,iot,2.76,48000,1,True,,,
1339,train-115/219070be90a4454370113e6d67c06629.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,các báo thức nào được cài đặt vào buổi sáng,các báo thức nào được cài đặt vào [timeofday : buổi sáng],['các' 'báo' 'thức' 'nào' 'được' 'cài' 'đặt' 'vào' 'buổi' 'sáng'],"['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'
 'timeofday' 'timeofday']",23,alarm_query,alarm,3.84,48000,1,True,,,
10137,train-115/af92d69ea7b95fb35d777b9c2423f020.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,gọi mẹ,gọi [relation : mẹ],['gọi' 'mẹ'],['Other' 'relation'],17,email_querycontact,email,2.04,48000,1,True,,,
12983,train-115/16bb4742f4e9ca5fc775a69c022682b9.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,giá dầu hôm nay như thế nào đối với một thùng dầu thô,giá dầu [date : hôm nay] như thế nào đối với một thùng dầu thô,"['giá' 'dầu' 'hôm' 'nay' 'như' 'thế' 'nào' 'đối' 'với' 'một' 'thùng' 'dầu'
 'thô']","['Other' 'Other' 'date' 'date' 'Other' 'Other' 'Other' 'Other' 'Other'
 'Other' 'Other' 'Other' 'Other']",49,qa_factoid,qa,3.54,48000,1,True,,,
5314,train-115/ed7829a321435cab7114161fd0fc2fbe.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,phát lại bài hát trước đó,[player_setting : phát lại] bài hát trước đó,['phát' 'lại' 'bài' 'hát' 'trước' 'đó'],['player_setting' 'player_setting' 'Other' 'Other' 'Other' 'Other'],28,music_settings,music,1.26,48000,1,True,,,
912,train-115/58191964228cf3ba48c1a7a48e4df208.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,mở trạm pandora yêu thích của tôi,mở trạm [app_name : pandora] yêu thích của tôi,['mở' 'trạm' 'pandora' 'yêu' 'thích' 'của' 'tôi'],['Other' 'Other' 'app_name' 'Other' 'Other' 'Other' 'Other'],36,play_radio,play,3.96,48000,1,True,,,
13565,train-115/56484e22b2ce80e9bde8ce6178ced117.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,một bảng anh bằng bao nhiêu đô la mỹ,một [currency_name : bảng anh] bằng bao nhiêu [currency_name : đô la mỹ],['một' 'bảng' 'anh' 'bằng' 'bao' 'nhiêu' 'đô' 'la' 'mỹ'],"['Other' 'currency_name' 'currency_name' 'Other' 'Other' 'Other'
 'currency_name' 'currency_name' 'currency_name']",10,qa_currency,qa,2.7,48000,1,True,,,
11291,train-115/a181f4c0aa88dca6ec7a5b7ae002c8cc.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,cái gì được phát nhiều nhất trên chương trình phát thanh của tôi,cái gì được [podcast_name : phát nhiều nhất] trên chương trình phát thanh của tôi,"['cái' 'gì' 'được' 'phát' 'nhiều' 'nhất' 'trên' 'chương' 'trình'
 'phát' 'thanh' 'của' 'tôi']","['Other' 'Other' 'Other' 'podcast_name' 'podcast_name' 'podcast_name'
 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other']",58,play_podcasts,play,4.98,48000,1,True,,,
808,train-115/39e778f6f9018f8558e3002a435e2642.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,làm cà phê lúc tám giờ sáng,làm cà phê lúc [time : tám giờ sáng],['làm' 'cà' 'phê' 'lúc' 'tám' 'giờ' 'sáng'],['Other' 'Other' 'Other' 'Other' 'time' 'time' 'time'],56,iot_coffee,iot,2.28,48000,1,True,,,
15772,train-115/b4a9ea033158e507ee222a313303ffe8.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,số điện thoại của anh ấy là số mấy,[personal_info : số điện thoại] của anh ấy là số mấy,['số' 'điện' 'thoại' 'của' 'anh' 'ấy' 'là' 'số' 'mấy'],"['personal_info' 'personal_info' 'personal_info' 'Other' 'Other' 'Other'
 'Other' 'Other' 'Other']",17,email_querycontact,email,3.36,48000,1,True,,,
213,train-115/7fa105279ec9dfaa61ef3dbec9c6586b.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,hôm nay là ngày mấy,[date : hôm nay] là ngày mấy,['hôm' 'nay' 'là' 'ngày' 'mấy'],['date' 'date' 'Other' 'Other' 'Other'],0,datetime_query,datetime,1.86,48000,1,True,,,
12190,train-115/cbc82068dd22c9a40a4d211036f39bc1.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,ga tàu hỏa gần nhất ở đâu,[place_name : ga tàu] hỏa gần nhất ở đâu,['ga' 'tàu' 'hỏa' 'gần' 'nhất' 'ở' 'đâu'],['place_name' 'place_name' 'Other' 'Other' 'Other' 'Other' 'Other'],42,transport_query,transport,3.36,48000,1,True,,,
693,train-115/18e2fc66c43ed4c8418a06976097d225.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,tôi mới đặt đồ ăn và kiểm tra xem nó đã được giao hàng chưa,tôi mới đặt đồ ăn và kiểm tra xem nó đã được [order_type : giao hàng] chưa,"['tôi' 'mới' 'đặt' 'đồ' 'ăn' 'và' 'kiểm' 'tra' 'xem' 'nó' 'đã'
 'được' 'giao' 'hàng' 'chưa']","['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'
 'Other' 'Other' 'Other' 'order_type' 'order_type' 'Other']",3,takeaway_query,takeaway,4.44,48000,1,True,,,
10820,train-115/e2d642418f379325d092b44fe20b3305.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,danh sách hôm nay của tôi có gì,danh sách [date : hôm nay] của tôi có gì,['danh' 'sách' 'hôm' 'nay' 'của' 'tôi' 'có' 'gì'],['Other' 'Other' 'date' 'date' 'Other' 'Other' 'Other' 'Other'],59,lists_query,lists,2.76,48000,1,True,,,
121,train-115/718a82a20ac4583520f84322fcb42743.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,kể cho tôi nghe một câu chuyện cười hay,kể cho tôi nghe một câu chuyện cười [joke_type : hay],['kể' 'cho' 'tôi' 'nghe' 'một' 'câu' 'chuyện' 'cười' 'hay'],"['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'
 'joke_type']",25,general_joke,general,3.18,48000,1,True,,,
12033,train-115/bf5f569d8280dfd68f64ac0539335991.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,danh sách các cửa hàng gần tôi,danh sách các [business_type : cửa hàng] gần tôi,['danh' 'sách' 'các' 'cửa' 'hàng' 'gần' 'tôi'],['Other' 'Other' 'Other' 'business_type' 'business_type' 'Other' 'Other'],19,recommendation_locations,recommendation,2.94,48000,1,True,,,
9679,train-115/a6d175a1f4bed1a3e04023fd4a228600.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,phát tiếp sách nói tôi đã nghe lần trước,[player_setting : phát tiếp] sách nói tôi đã nghe lần trước,['phát' 'tiếp' 'sách' 'nói' 'tôi' 'đã' 'nghe' 'lần' 'trước'],"['player_setting' 'player_setting' 'Other' 'Other' 'Other' 'Other' 'Other'
 'Other' 'Other']",20,play_audiobook,play,3.48,48000,1,True,,,
833,train-115/654b7a171a1a7758691b018a20f5dec4.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,có phải tuần này sẽ có tuyết ở đây,có phải [date : tuần này] sẽ có [weather_descriptor : tuyết] ở đây,['có' 'phải' 'tuần' 'này' 'sẽ' 'có' 'tuyết' 'ở' 'đây'],"['Other' 'Other' 'date' 'date' 'Other' 'Other' 'weather_descriptor'
 'Other' 'Other']",13,weather_query,weather,4.2,48000,1,True,,,
4100,train-115/f31d61811824abd1a1eda961f7f5bc8f.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,tin tức chính trị,tin tức [news_topic : chính trị],['tin' 'tức' 'chính' 'trị'],['Other' 'Other' 'news_topic' 'news_topic'],22,news_query,news,3.06,48000,1,True,,,
9911,train-115/c37b7c112d045d3f52384ddc2b6f72ef.wav,train,UNUSED,vi-VN,659ea35db097ea3c414b04c0,,Female,31,tôi nên luộc trứng trong bao lâu,tôi nên [cooking_type : luộc] [food_type : trứng] trong bao lâu,['tôi' 'nên' 'luộc' 'trứng' 'trong' 'bao' 'lâu'],['Other' 'Other' 'cooking_type' 'food_type' 'Other' 'Other' 'Other'],9,cooking_recipe,cooking,3.54,48000,1,True,,,
1344,train-115/29ce0a1317aed33c94f5787083b2ccb3.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,hãy thử phát nhạc cổ điển những năm chín mươi,hãy thử phát nhạc [music_genre : cổ điển những năm chín mươi],['hãy' 'thử' 'phát' 'nhạc' 'cổ' 'điển' 'những' 'năm' 'chín' 'mươi'],"['Other' 'Other' 'Other' 'Other' 'music_genre' 'music_genre' 'music_genre'
 'music_genre' 'music_genre' 'music_genre']",45,play_music,play,4.26,48000,1,True,,,
694,train-115/c52af28aedefc39c089491296255f81c.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,kiểm tra đơn hàng đang đi đến đâu,kiểm tra đơn hàng đang [order_type : đi] đến đâu,['kiểm' 'tra' 'đơn' 'hàng' 'đang' 'đi' 'đến' 'đâu'],['Other' 'Other' 'Other' 'Other' 'Other' 'order_type' 'Other' 'Other'],3,takeaway_query,takeaway,2.58,48000,1,True,,,
787,train-115/8bde19829b6cf96a94fcb85fc87cee41.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,thời tiết hôm nay như thế nào,thời tiết [date : hôm nay] như thế nào,['thời' 'tiết' 'hôm' 'nay' 'như' 'thế' 'nào'],['Other' 'Other' 'date' 'date' 'Other' 'Other' 'Other'],13,weather_query,weather,2.94,48000,1,True,,,
13289,train-115/bca6a5977cf924dd1ef33861a15a8c5b.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,định nghĩa từ vĩnh viễn,định nghĩa từ [definition_word : vĩnh viễn],['định' 'nghĩa' 'từ' 'vĩnh' 'viễn'],['Other' 'Other' 'Other' 'definition_word' 'definition_word'],26,qa_definition,qa,1.92,48000,1,True,,,
7961,train-115/e4201ee597bcf86cfb199ce3f8c1daa7.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,xoá tất cả các cuộc họp của tôi,xoá tất cả [event_name : các cuộc họp] của tôi,['xoá' 'tất' 'cả' 'các' 'cuộc' 'họp' 'của' 'tôi'],"['Other' 'Other' 'Other' 'event_name' 'event_name' 'event_name' 'Other'
 'Other']",30,calendar_remove,calendar,3.42,48000,1,True,,,
5389,train-115/a759a33fbd27d3e4c387a85d60178214.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,tắt ổ cắm thông minh,tắt [device_type : ổ cắm thông minh],['tắt' 'ổ' 'cắm' 'thông' 'minh'],['Other' 'device_type' 'device_type' 'device_type' 'device_type'],8,iot_wemo_off,iot,2.4,48000,1,True,,,
8852,train-115/a2b9d02d259ee0fdd45ae1affc515a1a.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,xoá công việc sắp tới,xoá công việc sắp tới,['xoá' 'công' 'việc' 'sắp' 'tới'],['Other' 'Other' 'Other' 'Other' 'Other'],30,calendar_remove,calendar,2.52,48000,1,True,,,
11048,train-115/d3c86159f901c0e0252d7accd290da80.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,danh sách của tôi ở đâu,danh sách của tôi ở đâu,['danh' 'sách' 'của' 'tôi' 'ở' 'đâu'],['Other' 'Other' 'Other' 'Other' 'Other' 'Other'],59,lists_query,lists,2.4,48000,1,True,,,
6768,train-115/49f5802ec1a79d0458d4a635e8fdee89.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,nhắc tôi trả tiền thuê nhà hàng tháng,nhắc tôi trả [event_name : tiền thuê nhà] [general_frequency : hàng tháng],['nhắc' 'tôi' 'trả' 'tiền' 'thuê' 'nhà' 'hàng' 'tháng'],"['Other' 'Other' 'Other' 'event_name' 'event_name' 'event_name'
 'general_frequency' 'general_frequency']",50,calendar_set,calendar,3.42,48000,1,True,,,
11983,train-115/83c88be4d53dc357fca9863bb5d72c73.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,olly đề xuất một hài kịch lãng mạn trong khu phố,olly đề xuất một [movie_type : hài kịch lãng mạn] trong khu phố,['olly' 'đề' 'xuất' 'một' 'hài' 'kịch' 'lãng' 'mạn' 'trong' 'khu' 'phố'],"['Other' 'Other' 'Other' 'Other' 'movie_type' 'movie_type' 'movie_type'
 'movie_type' 'Other' 'Other' 'Other']",55,recommendation_movies,recommendation,4.56,48000,1,True,,,
3271,train-115/1bd003c9efc79a2b467772d26f119682.wav,train,UNUSED,vi-VN,659ea35db097ea3c414b04c0,,Female,31,xóa tất cả báo thức cài đặt ngày hôm nay,xóa tất cả báo thức cài đặt [date : ngày hôm nay],['xóa' 'tất' 'cả' 'báo' 'thức' 'cài' 'đặt' 'ngày' 'hôm' 'nay'],"['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'date' 'date'
 'date']",52,alarm_remove,alarm,3.9,48000,1,True,,,
35,train-115/c3566b5357fb6f778709a9a93b79ce7c.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,tôi muốn phát bài hát đó một lần nữa,tôi muốn phát [media_type : bài hát] đó một lần nữa,['tôi' 'muốn' 'phát' 'bài' 'hát' 'đó' 'một' 'lần' 'nữa'],"['Other' 'Other' 'Other' 'media_type' 'media_type' 'Other' 'Other' 'Other'
 'Other']",45,play_music,play,2.16,48000,1,True,,,
15768,train-115/1ce8659890f71e8f2735f2f68e8e19ca.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,gửi email đến tuấn tại tuan a còng hotmail.com,gửi email đến [person : tuấn] tại [email_address : tuan a còng hotmail.com],['gửi' 'email' 'đến' 'tuấn' 'tại' 'tuan' 'a' 'còng' 'hotmail.com'],"['Other' 'Other' 'Other' 'person' 'Other' 'email_address' 'email_address'
 'email_address' 'email_address']",33,email_sendemail,email,5.46,48000,1,True,,,
16541,train-115/abfc40f7a320cfc12390f0b7b810d337.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,olly gần đây tôi có nhận được email nào từ mẹ không,olly gần đây tôi có nhận được email nào từ [relation : mẹ] không,"['olly' 'gần' 'đây' 'tôi' 'có' 'nhận' 'được' 'email' 'nào' 'từ' 'mẹ'
 'không']","['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'
 'Other' 'relation' 'Other']",44,email_query,email,4.92,48000,1,True,,,
6781,train-115/cfef92a7d2088c8a50442da6e7d32004.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,tuần này tôi hẹn khám bác sĩ lúc mấy giờ,[date : tuần này] tôi [event_name : hẹn khám bác sĩ] lúc mấy giờ,['tuần' 'này' 'tôi' 'hẹn' 'khám' 'bác' 'sĩ' 'lúc' 'mấy' 'giờ'],"['date' 'date' 'Other' 'event_name' 'event_name' 'event_name' 'event_name'
 'Other' 'Other' 'Other']",32,calendar_query,calendar,3.36,48000,1,True,,,
11008,train-115/eaac175bb07589282ebf4e9e98f3b475.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,những việc cần phải hoàn thành hôm nay,những việc cần phải hoàn thành [date : hôm nay],['những' 'việc' 'cần' 'phải' 'hoàn' 'thành' 'hôm' 'nay'],['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'date' 'date'],59,lists_query,lists,1.8,48000,1,True,,,
12154,train-115/0a9f2411e5c09222b1a2b0043a0511c8.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,tình trạnh giao thông bên ngoài văn phòng của tôi thế nào,tình trạnh giao thông bên ngoài [place_name : văn phòng] của tôi thế nào,"['tình' 'trạnh' 'giao' 'thông' 'bên' 'ngoài' 'văn' 'phòng' 'của' 'tôi'
 'thế' 'nào']","['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'place_name' 'place_name'
 'Other' 'Other' 'Other' 'Other']",11,transport_traffic,transport,3.12,48000,1,True,,,
11323,train-115/072b7d1add2cd6a9e550ebb4c66d3585.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,hãy mở tập tiếp theo,hãy mở [podcast_descriptor : tập tiếp theo],['hãy' 'mở' 'tập' 'tiếp' 'theo'],"['Other' 'Other' 'podcast_descriptor' 'podcast_descriptor'
 'podcast_descriptor']",58,play_podcasts,play,1.98,48000,1,True,,,
